year,profit_per_gambler,visits_per_gambler,ruin_events_per_gambler,active_share_year_end
524,1131.5307,3.15264,0.000823,0.799933
525,1131.2811,3.15063,0.000833,0.799906
526,1129.5637,3.14778,0.000940,0.799869
527,1131.3322,3.15072,0.000875,0.799838
528,1131.0241,3.14951,0.000817,0.799812
529,1130.2885,3.14808,0.000785,0.799793
530,1131.0089,3.15074,0.000714,0.799790
531,1132.1629,3.15129,0.000878,0.799755
532,1130.5253,3.14890,0.000854,0.799719
533,1130.3125,3.14967,0.000757,0.799724
534,1129.8606,3.14864,0.000838,0.799680
535,1131.1673,3.15093,0.000796,0.799663
536,1130.0361,3.14966,0.000846,0.799670
537,1130.1055,3.14834,0.000829,0.799622
538,1130.2351,3.14894,0.000746,0.799616
539,1130.2247,3.14899,0.000799,0.799580
540,1130.4323,3.14938,0.000800,0.799534
541,1129.6004,3.14840,0.000820,0.799494
542,1131.4921,3.15232,0.000799,0.799466
543,1129.9578,3.14941,0.000855,0.799440
544,1129.8175,3.14814,0.000816,0.799393
545,1130.4718,3.15034,0.000773,0.799350
546,1128.6450,3.14633,0.000797,0.799337
547,1129.8858,3.14758,0.000731,0.799307
548,1128.6427,3.14727,0.000816,0.799268
549,1130.3441,3.14729,0.000767,0.799274
550,1129.6099,3.14596,0.000783,0.799254
551,1128.5095,3.14464,0.000748,0.799213
552,1130.1952,3.15014,0.000692,0.799171
553,1128.9486,3.14568,0.000692,0.799133
554,1128.4393,3.14751,0.000757,0.799127
555,1128.6930,3.14730,0.000718,0.799085
556,1129.9534,3.14794,0.000758,0.799057
557,1130.0210,3.14592,0.000706,0.799031
558,1128.7137,3.14503,0.000754,0.798993
559,1128.2133,3.14477,0.000802,0.798983
560,1129.4615,3.14589,0.000795,0.798933
561,1128.3092,3.14616,0.000762,0.798913
562,1128.7939,3.14625,0.000768,0.798898
563,1130.1363,3.14751,0.000751,0.798889
564,1126.8119,3.14383,0.000731,0.798853
565,1129.7220,3.14598,0.000790,0.798819
566,1127.9724,3.14740,0.000740,0.798820
567,1128.5068,3.14473,0.000774,0.798798
568,1128.7115,3.14667,0.000816,0.798764
569,1129.1403,3.14722,0.000824,0.798727
570,1128.3176,3.14377,0.000760,0.798682
571,1129.0397,3.14543,0.000726,0.798657
572,1127.9523,3.14542,0.000726,0.798633
573,1128.2649,3.14408,0.000805,0.798597
574,1127.6934,3.14435,0.000710,0.798595
575,1127.4998,3.14329,0.000712,0.798585
576,1127.8378,3.14465,0.000688,0.798557
577,1126.9756,3.14175,0.000681,0.798541
578,1128.3512,3.14455,0.000766,0.798497
579,1127.5016,3.14470,0.000724,0.798457
580,1128.3801,3.14307,0.000730,0.798415
581,1127.2869,3.14186,0.000734,0.798393
582,1127.4397,3.14307,0.000712,0.798370
583,1126.6656,3.14150,0.000734,0.798348
584,1126.9853,3.14298,0.000741,0.798305
585,1126.3302,3.14149,0.000738,0.798270
586,1128.4976,3.14426,0.000758,0.798249
587,1126.9645,3.14130,0.000739,0.798224
588,1126.9392,3.14243,0.000731,0.798200
589,1127.4838,3.14388,0.000762,0.798178
590,1127.1698,3.14171,0.000642,0.798188
591,1126.7844,3.14249,0.000665,0.798185
592,1127.5075,3.14443,0.000676,0.798178
593,1126.8879,3.14219,0.000577,0.798149
594,1126.6553,3.14289,0.000693,0.798113
595,1127.4923,3.14375,0.000684,0.798104
596,1127.5838,3.14120,0.000653,0.798077
