house_edge,comp_rate,decade,profit_per_gambler_year,active_share
0.2200,0.3429,5,488.181,0.71558
0.2200,0.3429,6,482.988,0.70569
0.2200,0.3429,7,478.873,0.69910
0.2200,0.3429,8,461.009,0.69348
0.2200,0.3429,9,442.151,0.68689
0.2200,0.3429,10,457.987,0.68372
0.2200,0.3429,11,437.053,0.67676
0.2200,0.3429,12,436.434,0.67200
0.2500,0.3429,1,673.937,0.78271
0.2500,0.3429,2,595.887,0.75476
0.2500,0.3429,3,565.181,0.73706
0.2500,0.3429,4,550.328,0.72412
0.2500,0.3429,5,537.808,0.71252
0.2500,0.3429,6,534.227,0.70557
0.2500,0.3429,7,520.500,0.69885
0.2500,0.3429,8,505.360,0.69336
0.2500,0.3429,9,495.514,0.68616
0.2500,0.3429,10,495.002,0.68347
0.2500,0.3429,11,490.194,0.67896
0.2500,0.3429,12,487.449,0.67517
0.2800,0.3429,1,740.806,0.77722
0.2800,0.3429,2,666.015,0.74963
0.2800,0.3429,3,616.111,0.73315
0.2800,0.3429,4,606.742,0.72046
0.2800,0.3429,5,581.580,0.71387
0.2800,0.3429,6,584.168,0.70483
0.2800,0.3429,7,563.183,0.69800
0.2800,0.3429,8,555.332,0.69275
0.2800,0.3429,9,551.607,0.68823
0.2800,0.3429,10,545.710,0.68091
0.2800,0.3429,11,534.216,0.67786
0.2800,0.3429,12,533.016,0.67419
0.0100,0.4286,1,36.392,0.87146
0.0100,0.4286,2,26.771,0.82202
0.0100,0.4286,3,25.742,0.79138
0.0100,0.4286,4,25.367,0.76880
0.0100,0.4286,5,34.187,0.75208
0.0100,0.4286,6,19.144,0.73840
0.0100,0.4286,7,29.169,0.72620
0.0100,0.4286,8,30.615,0.71606
0.0100,0.4286,9,19.989,0.71191
0.0100,0.4286,10,27.375,0.70410
0.0100,0.4286,11,19.977,0.69873
0.0100,0.4286,12,20.845,0.69507
0.0400,0.4286,1,116.509,0.85107
0.0400,0.4286,2,117.622,0.80371
0.0400,0.4286,3,98.287,0.77710
0.0400,0.4286,4,108.221,0.75769
0.0400,0.4286,5,92.465,0.74268
0.0400,0.4286,6,95.001,0.73047
0.0400,0.4286,7,81.898,0.72034
0.0400,0.4286,8,95.113,0.71179
0.0400,0.4286,9,101.771,0.70496
0.0400,0.4286,10,92.835,0.69983
0.0400,0.4286,11,88.099,0.69592
0.0400,0.4286,12,79.314,0.69177
0.0700,0.4286,1,205.811,0.83057
0.0700,0.4286,2,180.145,0.78918
0.0700,0.4286,3,179.746,0.76428
0.0700,0.4286,4,160.867,0.74512
0.0700,0.4286,5,171.266,0.73401
0.0700,0.4286,6,165.064,0.72217
0.0700,0.4286,7,164.384,0.71692
0.0700,0.4286,8,149.647,0.70923
0.0700,0.4286,9,145.284,0.70337
0.0700,0.4286,10,149.431,0.69775
0.0700,0.4286,11,141.587,0.69275
0.0700,0.4286,12,146.387,0.68848
0.1000,0.4286,1,286.698,0.81982
0.1000,0.4286,2,259.364,0.78088
0.1000,0.4286,3,253.896,0.76111
0.1000,0.4286,4,233.498,0.74731
0.1000,0.4286,5,230.472,0.73193
0.1000,0.4286,6,217.872,0.72302
0.1000,0.4286,7,212.111,0.71191
0.1000,0.4286,8,210.668,0.70447
0.1000,0.4286,9,211.267,0.69861
0.1000,0.4286,10,214.627,0.69409
0.1000,0.4286,11,193.989,0.69080
0.1000,0.4286,12,195.788,0.68774
0.1300,0.4286,1,372.787,0.80908
0.1300,0.4286,2,319.803,0.77527
0.1300,0.4286,3,301.483,0.74976
0.1300,0.4286,4,292.222,0.73889
0.1300,0.4286,5,277.791,0.72351
0.1300,0.4286,6,267.788,0.71790
0.1300,0.4286,7,272.581,0.71130
0.1300,0.4286,8,277.101,0.70520
